name, b3lyp-t1-min-confs, b3lyp-t2-min-confs, min-G-t1, min-G-t2, confs-bw-G-t1, confs-bw-G-t1, confs-bw-rot-G-t1, confs-bw-rot-G-t1, exp-dG, min-dG, confs-bw-dG, confs-bw-rot-dG 
molDWRow_1115, 1, 1, -501964.6, -501972.4, -501964.6, -501972.4, -501964.6, -501973.2, -7.776510000000001, -7.8, -7.8, -8.6 
molDWRow_1116, 1, 1, -501964.4, -501966.5, -501964.4, -501966.5, -501964.4, -501967.3, -3.95647, -2.1, -2.1, -2.9 
molDWRow_1117, 2, 1, -415667.7, -415670.8, -415668.1, -415670.8, -415668.1, -415671.2, -1.5007300000000001, -3.0, -2.7, -3.1 
molDWRow_1118, 2, 1, -512038.7, -512044.4, -512039.0, -512044.4, -512039.0, -512044.4, -1.91002, -5.7, -5.4, -5.4 
molDWRow_1119, 1, 1, -415651.1, -415658.4, -415651.1, -415658.4, -415651.1, -415658.8, -7.094360000000001, -7.4, -7.4, -7.8 
molDWRow_112, 4, 8, -587634.6, -587624.3, -587634.7, -587625.2, -587635.6, -587625.6, 8.799735, 10.3, 9.5, 9.9 
molDWRow_1120, 1, 1, -512021.4, -512032.1, -512021.4, -512032.1, -512021.4, -512032.1, -9.27724, -10.7, -10.7, -10.7 
molDWRow_1123, 3, 1, -465714.0, -465726.5, -465714.2, -465726.5, -465717.4, -465730.1, -10.9144, -12.5, -12.3, -12.7 
molDWRow_1124, 2, 1, -453538.2, -453548.6, -453538.5, -453548.6, -453541.1, -453550.7, -8.59509, -10.4, -10.1, -9.7 
molDWRow_1125, 2, 1, -656195.8, -656206.1, -656196.2, -656206.1, -656198.7, -656208.2, -8.1858, -10.3, -9.9, -9.5 
molDWRow_113, 2, 5, -384971.3, -384961.8, -384971.5, -384962.5, -384972.3, -384962.9, 8.049370000000001, 9.5, 9.0, 9.4 
molDWRow_114, 3, 4, -396409.6, -396403.4, -396409.9, -396403.9, -396411.1, -396404.8, 4.22933, 6.3, 5.9, 6.3 
molDWRow_1149, 3, 2, -561316.2, -561317.4, -561316.5, -561317.7, -561317.9, -561319.2, -2.1828800000000004, -1.2, -1.3, -1.3 
molDWRow_115, 3, 8, -396410.4, -396402.7, -396410.9, -396403.5, -396411.7, -396404.0, 5.730060000000001, 7.7, 7.3, 7.8 
molDWRow_1150, 2, 1, -441050.9, -441053.3, -441051.1, -441053.3, -441053.3, -441055.9, -3.0014600000000002, -2.5, -2.2, -2.6 
molDWRow_1152, 2, 2, -665508.8, -665515.2, -665509.1, -665515.5, -665509.5, -665515.5, -5.59363, -6.4, -6.4, -6.0 
molDWRow_116, 5, 6, -396411.0, -396407.3, -396411.1, -396407.3, -396411.9, -396407.7, 4.570405, 3.7, 3.8, 4.3 
molDWRow_117, 6, 6, -406481.4, -406478.3, -406481.6, -406478.3, -406482.4, -406478.7, 3.95647, 3.1, 3.3, 3.7 
molDWRow_1181, 3, 1, -190473.5, -190461.9, -190473.9, -190461.9, -190474.3, -190462.3, 8.86795, 11.6, 12.1, 12.1 
molDWRow_1182, 3, 2, -335381.8, -335373.6, -335382.2, -335373.9, -335382.6, -335375.2, 6.27578, 8.2, 8.3, 7.4 
molDWRow_1183, 5, 2, -286240.8, -286232.0, -286240.8, -286232.3, -286241.9, -286233.7, 4.50219, 8.8, 8.6, 8.1 
molDWRow_1184, 8, 7, -863016.8, -863013.8, -863017.1, -863014.3, -863018.2, -863015.8, 2.59217, 3.0, 2.8, 2.4 
molDWRow_1185, 6, 4, -1151398.9, -1151396.6, -1151399.1, -1151397.1, -1151400.2, -1151398.6, 1.3643, 2.3, 2.0, 1.6 
molDWRow_1186, 5, 3, -559362.3, -559363.6, -559362.9, -559364.2, -559364.3, -559366.1, -1.0914400000000002, -1.3, -1.3, -1.8 
molDWRow_1187, 8, 3, -679624.1, -679625.4, -679624.9, -679625.8, -679625.7, -679627.1, -2.45574, -1.2, -0.9, -1.3 
molDWRow_1188, 2, 1, -286844.3, -286836.3, -286844.7, -286836.3, -286845.1, -286836.3, 6.27578, 8.0, 8.3, 8.7 
molDWRow_1189, 7, 5, -1247768.4, -1247767.9, -1247768.8, -1247768.6, -1247769.8, -1247769.6, 0.68215, 0.5, 0.2, 0.2 
molDWRow_119, 5, 7, -396412.1, -396403.5, -396412.5, -396404.3, -396413.3, -396404.7, 6.644141, 8.6, 8.2, 8.6 
molDWRow_1190, 2, 1, -286842.4, -286834.8, -286842.8, -286834.8, -286843.2, -286834.8, 5.59363, 7.6, 8.0, 8.4 
molDWRow_1191, 2, 1, -383214.0, -383207.8, -383214.4, -383207.8, -383214.8, -383207.8, 4.22933, 6.2, 6.6, 7.0 
molDWRow_1192, 3, 1, -296895.2, -296880.9, -296895.6, -296880.9, -296896.0, -296880.9, 12.2787, 14.3, 14.7, 15.1 
molDWRow_1193, 1, 1, -200554.0, -200540.8, -200554.0, -200540.8, -200554.9, -200540.8, 10.23225, 13.3, 13.3, 14.1 
molDWRow_1195, 3, 1, -200529.3, -200520.3, -200529.7, -200520.3, -200530.1, -200520.3, 5.59363, 9.0, 9.3, 9.8 
molDWRow_1196, 2, 1, -296900.0, -296894.7, -296900.3, -296894.7, -296900.7, -296894.7, -0.68215, 5.3, 5.6, 6.0 
molDWRow_120, 4, 3, -396412.3, -396404.6, -396412.5, -396405.0, -396413.8, -396405.9, 5.961991, 7.7, 7.5, 7.9 
molDWRow_1201, 2, 1, -296917.8, -296908.3, -296918.1, -296908.3, -296918.6, -296908.3, 11.59655, 9.5, 9.8, 10.3 
molDWRow_121, 3, 6, -396412.9, -396412.2, -396413.3, -396412.6, -396414.1, -396413.0, 2.687671, 0.7, 0.8, 1.2 
molDWRow_122, 3, 6, -406485.2, -406483.4, -406485.5, -406483.7, -406486.3, -406484.2, 2.8241009999999998, 1.8, 1.8, 2.2 
molDWRow_1221, 2, 1, -391771.0, -391763.5, -391771.4, -391763.5, -391772.2, -391763.5, 6.13935, 7.5, 7.9, 8.7 
molDWRow_1222, 9, 6, -561325.8, -561320.3, -561326.6, -561321.0, -561327.9, -561321.8, 5.59363, 5.5, 5.7, 6.1 
molDWRow_1223, 4, 5, -536679.9, -536676.5, -536680.3, -536676.8, -536681.2, -536677.2, 3.13789, 3.4, 3.5, 3.9 
molDWRow_1224, 6, 7, -905568.4, -905575.4, -905569.2, -905575.9, -905571.5, -905577.8, -2.1828800000000004, -7.0, -6.7, -6.3 
molDWRow_1225, 4, 2, -286963.8, -286958.1, -286964.6, -286958.2, -286967.1, -286959.8, 5.86649, 5.7, 6.4, 7.2 
molDWRow_1226, 4, 2, -489622.0, -489616.0, -489622.8, -489616.4, -489625.3, -489618.0, 5.047910000000001, 6.1, 6.4, 7.3 
molDWRow_1227, 2, 1, -488147.0, -488139.7, -488147.2, -488139.7, -488148.1, -488139.7, 5.4572, 7.3, 7.5, 8.3 
molDWRow_1228, 2, 1, -297663.1, -297657.0, -297663.4, -297657.0, -297664.8, -297658.0, 3.5471800000000004, 6.1, 6.4, 6.8 
molDWRow_1229, 4, 2, -491122.9, -491115.0, -491123.4, -491115.3, -491125.7, -491117.2, 4.77505, 8.0, 8.1, 8.6 
molDWRow_1230, 2, 1, -394031.2, -394026.4, -394031.5, -394026.4, -394032.9, -394027.5, 3.0014600000000002, 4.8, 5.1, 5.5 
molDWRow_1231, 2, 1, -394031.7, -394024.5, -394031.8, -394024.5, -394033.3, -394025.6, 3.82004, 7.1, 7.3, 7.7 
molDWRow_1232, 3, 6, -344089.3, -344083.7, -344089.4, -344084.5, -344089.8, -344084.9, 5.4572, 5.6, 4.9, 4.9 
molDWRow_1233, 2, 1, -344102.0, -344094.9, -344102.4, -344094.9, -344103.2, -344095.3, 7.50365, 7.1, 7.5, 7.9 
molDWRow_1234, 4, 1, -368742.8, -368736.5, -368743.4, -368736.5, -368744.8, -368737.9, 8.1858, 6.3, 6.9, 6.9 
molDWRow_1235, 4, 4, -489009.7, -489005.1, -489010.0, -489005.6, -489010.8, -489006.5, 4.91148, 4.6, 4.4, 4.4 
molDWRow_1236, 3, 4, -546743.7, -546740.4, -546744.2, -546740.9, -546744.6, -546741.3, 4.63862, 3.3, 3.3, 3.3 
molDWRow_1237, 2, 1, -546754.8, -546748.1, -546755.1, -546748.1, -546756.0, -546748.5, 7.50365, 6.6, 7.0, 7.4 
molDWRow_1238, 4, 7, -691662.8, -691660.0, -691663.3, -691660.5, -691664.1, -691661.3, 3.95647, 2.8, 2.8, 2.8 
molDWRow_1239, 3, 2, -344097.4, -344086.7, -344097.9, -344087.0, -344098.7, -344087.4, 8.86795, 10.8, 10.9, 11.3 
molDWRow_1240, 3, 3, -368738.6, -368728.1, -368739.0, -368728.7, -368740.4, -368730.2, 9.413670000000002, 10.4, 10.3, 10.3 
molDWRow_1241, 2, 1, -186718.7, -186707.0, -186719.1, -186707.0, -186719.5, -186707.0, 8.86795, 11.7, 12.0, 12.5 
molDWRow_1242, 2, 1, -221418.2, -221404.8, -221418.5, -221404.8, -221420.0, -221405.9, 10.095820000000002, 13.3, 13.7, 14.1 
molDWRow_1243, 4, 3, -246058.3, -246045.6, -246058.6, -246045.6, -246060.8, -246047.8, 13.09728, 12.6, 13.0, 13.0 
molDWRow_1249, 4, 1, -214525.9, -214528.2, -214526.0, -214528.2, -214528.1, -214530.7, -3.82004, -2.3, -2.2, -2.6 
molDWRow_1250, 3, 2, -224613.0, -224617.4, -224613.2, -224617.8, -224614.7, -224620.1, -4.22933, -4.4, -4.6, -5.4 
molDWRow_1254, 4, 2, -297790.4, -297798.4, -297790.8, -297798.6, -297793.8, -297801.6, -3.6836100000000003, -8.0, -7.8, -7.8 
molDWRow_126, 5, 6, -492780.5, -492771.5, -492780.9, -492772.2, -492781.7, -492772.7, 5.730060000000001, 9.0, 8.6, 9.1 
molDWRow_1265, 5, 1, -487539.6, -487535.5, -487539.6, -487535.5, -487541.1, -487536.6, 1.3643, 4.1, 4.1, 4.5 
molDWRow_1266, 5, 2, -674388.4, -674383.0, -674388.4, -674383.4, -674389.9, -674384.5, -1.7735900000000002, 5.3, 5.0, 5.4 
molDWRow_1267, 9, 4, -1064314.4, -1064315.7, -1064314.6, -1064316.2, -1064316.1, -1064317.3, 0.40929, -1.3, -1.6, -1.1 
molDWRow_1275, 10, 3, -1074377.1, -1074377.5, -1074377.3, -1074378.1, -1074378.4, -1074379.1, -0.27286000000000005, -0.4, -0.8, -0.8 
molDWRow_1279, 8, 5, -1352696.5, -1352698.7, -1352696.5, -1352699.2, -1352698.0, -1352700.3, -1.7735900000000002, -2.2, -2.7, -2.3 
molDWRow_1280, 9, 2, -1449069.2, -1449071.7, -1449069.8, -1449072.0, -1449071.3, -1449073.1, -2.04645, -2.4, -2.2, -1.8 
molDWRow_1282, 6, 2, -1362758.1, -1362760.5, -1362758.3, -1362760.8, -1362759.4, -1362761.9, -2.1828800000000004, -2.5, -2.6, -2.6 
molDWRow_1283, 11, 6, -1182336.4, -1182337.6, -1182336.5, -1182337.9, -1182338.6, -1182340.0, -0.0, -1.2, -1.4, -1.4 
molDWRow_1321, 7, 4, -311621.2, -311622.9, -311621.4, -311623.0, -311623.9, -311625.5, 0.40929, -1.7, -1.6, -1.6 
molDWRow_1322, 8, 3, -478950.9, -478951.3, -478951.5, -478951.9, -478952.7, -478953.1, 0.5457200000000001, -0.4, -0.4, -0.4 
molDWRow_1323, 6, 5, -586126.9, -586129.1, -586127.1, -586129.2, -586130.6, -586132.7, -1.3643, -2.2, -2.1, -2.1 
molDWRow_1324, 8, 10, -346360.2, -346367.1, -346360.7, -346367.2, -346363.6, -346370.1, -4.50219, -6.9, -6.6, -6.6 
molDWRow_1341, 2, 1, -262333.4, -262339.9, -262333.5, -262339.9, -262335.6, -262342.0, -2.7286, -6.4, -6.4, -6.4 
molDWRow_1342, 2, 1, -237682.8, -237688.5, -237682.9, -237688.5, -237684.0, -237689.6, -2.5375980000000005, -5.8, -5.6, -5.6 
molDWRow_1343, 2, 1, -309522.0, -309527.5, -309522.2, -309527.5, -309524.4, -309529.6, -2.4966690000000002, -5.5, -5.3, -5.3 
molDWRow_1344, 4, 3, -343540.0, -343545.3, -343540.0, -343545.3, -343541.5, -343546.8, -1.8281620000000003, -5.4, -5.4, -5.4 
molDWRow_1345, 9, 9, -405300.7, -405304.0, -405301.1, -405304.6, -405303.7, -405307.1, -1.8690910000000003, -3.4, -3.4, -3.4 
molDWRow_1346, 2, 1, -295562.6, -295570.1, -295562.6, -295570.1, -295563.7, -295571.2, -1.609874, -7.5, -7.4, -7.4 
molDWRow_1347, 2, 1, -262332.9, -262338.1, -262333.1, -262338.1, -262335.2, -262340.2, -2.6740280000000003, -5.2, -5.1, -5.1 
molDWRow_1348, 2, 1, -237682.8, -237688.6, -237682.9, -237688.6, -237683.9, -237689.7, -2.619456, -5.8, -5.8, -5.8 
molDWRow_1349, 2, 1, -309521.2, -309526.8, -309521.5, -309526.8, -309523.6, -309528.9, -2.401168, -5.6, -5.3, -5.3 
molDWRow_1350, 5, 1, -343539.9, -343544.8, -343539.9, -343544.8, -343541.4, -343546.2, -1.8690910000000003, -4.9, -4.9, -4.9 
molDWRow_1351, 11, 9, -405300.6, -405302.2, -405300.7, -405302.9, -405303.3, -405305.5, -1.705375, -1.6, -2.2, -2.2 
molDWRow_1352, 2, 1, -295562.7, -295568.6, -295562.7, -295568.6, -295563.8, -295569.6, -1.541659, -5.8, -5.8, -5.8 
molDWRow_1353, 1, 1, -262339.2, -262338.3, -262339.2, -262338.3, -262341.3, -262340.4, 0.054572, 0.9, 0.9, 0.9 
molDWRow_1354, 1, 1, -237688.9, -237688.4, -237688.9, -237688.4, -237689.9, -237689.5, -0.06821500000000001, 0.5, 0.5, 0.5 
molDWRow_1355, 1, 1, -309527.4, -309527.0, -309527.4, -309527.0, -309529.5, -309529.1, 0.09550100000000002, 0.4, 0.4, 0.4 
molDWRow_1356, 3, 1, -343545.9, -343544.7, -343545.9, -343544.7, -343547.4, -343546.2, -0.040929, 1.1, 1.1, 1.1 
molDWRow_1357, 8, 8, -405303.9, -405302.2, -405304.7, -405302.9, -405307.2, -405305.4, 0.163716, 1.7, 1.8, 1.8 
molDWRow_1358, 1, 1, -295569.9, -295568.8, -295569.9, -295568.8, -295571.0, -295569.9, 0.06821500000000001, 1.2, 1.2, 1.2 
molDWRow_1365, 1, 1, -257826.9, -257830.9, -257826.9, -257830.9, -257827.3, -257831.3, -3.27432, -4.0, -4.0, -4.0 
molDWRow_1366, 2, 1, -282479.0, -282483.6, -282479.3, -282483.6, -282480.7, -282485.1, -3.192462, -4.7, -4.4, -4.4 
molDWRow_1367, 1, 1, -257827.3, -257821.5, -257827.3, -257821.5, -257827.7, -257821.5, 3.615395, 5.8, 5.8, 6.2 
molDWRow_1368, 2, 1, -282478.9, -282474.2, -282479.3, -282474.2, -282480.8, -282475.2, 2.8241009999999998, 4.7, 5.1, 5.5 
molDWRow_1370, 2, 1, -392688.6, -392684.3, -392689.0, -392684.3, -392689.8, -392685.1, 5.86649, 4.3, 4.7, 4.7 
molDWRow_1377, 1, 1, -402007.7, -402010.8, -402007.7, -402010.8, -402007.7, -402011.2, -2.1828800000000004, -3.1, -3.1, -3.5 
molDWRow_1378, 1, 1, -391939.5, -391938.9, -391939.5, -391938.9, -391939.5, -391938.9, 2.1828800000000004, 0.7, 0.7, 0.7 
molDWRow_1379, 1, 1, -402004.0, -402003.7, -402004.0, -402003.7, -402004.0, -402003.7, -1.0914400000000002, 0.3, 0.3, 0.3 
molDWRow_1380, 2, 2, -436700.0, -436699.3, -436700.4, -436699.6, -436700.8, -436700.0, -3.6836100000000003, 0.7, 0.8, 0.8 
molDWRow_1381, 2, 1, -186714.7, -186707.0, -186715.1, -186707.0, -186715.5, -186707.0, 7.50365, 7.6, 8.0, 8.4 
molDWRow_1384, 2, 1, -189112.3, -189104.2, -189112.7, -189104.2, -189113.6, -189104.2, 6.95793, 8.1, 8.5, 9.3 
molDWRow_1385, 1, 1, -176644.5, -176635.8, -176644.5, -176635.8, -176644.9, -176636.2, 4.22933, 8.7, 8.7, 8.7 
molDWRow_141, 1, 4, -192262.0, -192257.1, -192262.0, -192257.1, -192264.5, -192258.6, 6.616855, 4.9, 4.9, 6.0 
molDWRow_1411, 1, 1, -213030.3, -213035.5, -213030.3, -213035.5, -213030.7, -213035.9, -3.0014600000000002, -5.1, -5.1, -5.1 
molDWRow_1413, 1, 1, -247776.0, -247779.7, -247776.0, -247779.7, -247776.8, -247780.1, -3.5471800000000004, -3.6, -3.6, -3.2 
molDWRow_1414, 1, 1, -247775.9, -247771.3, -247775.9, -247771.3, -247776.8, -247771.7, 2.04645, 4.6, 4.6, 5.1 
molDWRow_1415, 1, 1, -247779.8, -247771.2, -247779.8, -247771.2, -247780.2, -247771.6, 5.59363, 8.6, 8.6, 8.6 
molDWRow_1422, 2, 4, -248520.1, -248517.0, -248520.5, -248517.5, -248521.7, -248518.3, 1.63716, 3.1, 3.0, 3.4 
molDWRow_1423, 1, 1, -257825.0, -257834.7, -257825.0, -257834.7, -257825.4, -257835.1, -7.50365, -9.7, -9.7, -9.7 
molDWRow_1424, 1, 1, -257835.2, -257826.1, -257835.2, -257826.1, -257835.6, -257826.1, 2.7286, 9.1, 9.1, 9.5 
molDWRow_1429, 5, 5, -788769.8, -788771.0, -788769.9, -788771.0, -788773.4, -788774.6, -1.0914400000000002, -1.2, -1.1, -1.1 
molDWRow_1450, 4, 2, -284573.3, -284561.9, -284573.7, -284562.2, -284576.7, -284564.7, 8.1858, 11.4, 11.5, 12.0 
molDWRow_1451, 2, 1, -200554.8, -200540.9, -200554.8, -200540.9, -200555.2, -200540.9, 8.86795, 13.9, 13.9, 14.3 
molDWRow_1452, 2, 1, -235294.6, -235283.7, -235294.8, -235283.7, -235295.6, -235284.1, 8.049370000000001, 10.9, 11.1, 11.5 
molDWRow_1453, 2, 2, -235294.7, -235280.1, -235294.9, -235280.5, -235295.7, -235280.9, 7.64008, 14.7, 14.5, 14.9 
molDWRow_1454, 3, 2, -284571.8, -284558.8, -284572.3, -284559.2, -284575.3, -284561.7, 8.049370000000001, 12.9, 13.1, 13.5 
molDWRow_1455, 4, 2, -259935.2, -259924.2, -259935.7, -259924.5, -259937.2, -259925.6, 7.776510000000001, 11.0, 11.2, 11.6 
molDWRow_1456, 4, 2, -259935.1, -259920.7, -259935.6, -259921.1, -259937.1, -259922.5, 7.3672200000000005, 14.4, 14.6, 14.6 
molDWRow_1465, 2, 1, -262928.8, -262933.3, -262929.0, -262933.3, -262929.4, -262934.1, -1.91002, -4.5, -4.3, -4.7 
molDWRow_1484, 1, 1, -273020.1, -273013.7, -273020.1, -273013.7, -273020.5, -273014.1, 3.13789, 6.4, 6.4, 6.4 
molDWRow_1485, 2, 1, -199178.9, -199167.6, -199178.9, -199167.6, -199179.3, -199167.6, 10.095820000000002, 11.3, 11.3, 11.7 
molDWRow_1486, 1, 1, -401853.6, -401844.0, -401853.6, -401844.0, -401854.0, -401844.0, 7.776510000000001, 9.6, 9.6, 10.0 
molDWRow_1487, 2, 1, -344147.7, -344141.5, -344148.1, -344141.5, -344148.5, -344141.5, 6.412210000000001, 6.1, 6.5, 7.0 
molDWRow_1488, 2, 1, -344147.8, -344148.2, -344148.1, -344148.2, -344148.5, -344148.6, 1.22787, -0.5, -0.2, -0.2 
molDWRow_1489, 1, 1, -344148.1, -344141.3, -344148.1, -344141.3, -344148.5, -344141.3, 5.18434, 6.8, 6.8, 7.2 
molDWRow_1490, 1, 1, -488314.4, -488312.6, -488314.4, -488312.6, -488314.4, -488312.6, 3.27432, 1.8, 1.8, 1.8 
molDWRow_1491, 1, 1, -391939.7, -391939.7, -391939.7, -391939.7, -391939.7, -391939.7, 0.95501, -0.1, -0.1, -0.1 
molDWRow_1492, 1, 1, -402005.0, -402005.9, -402005.0, -402005.9, -402005.0, -402005.9, -2.31931, -0.9, -0.9, -0.9 
molDWRow_1493, 1, 1, -402008.1, -402012.4, -402008.1, -402012.4, -402008.1, -402012.4, -3.41075, -4.3, -4.3, -4.3 
molDWRow_1494, 1, 1, -412055.2, -412062.1, -412055.2, -412062.1, -412055.2, -412062.1, -4.91148, -6.9, -6.9, -6.9 
molDWRow_1495, 1, 1, -295569.0, -295567.9, -295569.0, -295567.9, -295569.0, -295567.9, 4.77505, 1.1, 1.1, 1.1 
molDWRow_1496, 1, 1, -315682.3, -315687.5, -315682.3, -315687.5, -315682.3, -315687.9, -1.0914400000000002, -5.2, -5.2, -5.6 
molDWRow_1499, 2, 2, -260250.0, -260249.1, -260250.0, -260249.1, -260250.0, -260249.1, -0.0, 0.9, 0.9, 0.9 
molDWRow_1500, 2, 1, -309399.4, -309408.5, -309399.4, -309408.5, -309399.4, -309408.5, -7.23079, -9.1, -9.1, -9.1 
molDWRow_1501, 2, 1, -223081.0, -223088.9, -223081.2, -223088.9, -223081.2, -223089.7, -3.27432, -7.8, -7.7, -8.5 
molDWRow_1502, 2, 1, -223080.6, -223088.5, -223080.9, -223088.5, -223080.9, -223089.3, -6.95793, -7.8, -7.6, -8.4 
molDWRow_1503, 1, 1, -223109.3, -223114.8, -223109.3, -223114.8, -223109.7, -223115.2, -2.1828800000000004, -5.5, -5.5, -5.5 
molDWRow_1504, 2, 1, -223077.6, -223083.7, -223077.6, -223083.7, -223077.6, -223084.2, -4.77505, -6.2, -6.1, -6.5 
molDWRow_1505, 2, 1, -309399.8, -309407.3, -309400.2, -309407.3, -309400.2, -309407.3, -6.13935, -7.5, -7.1, -7.1 
molDWRow_1506, 1, 1, -309407.4, -309402.0, -309407.4, -309402.0, -309407.4, -309402.0, 2.8650300000000004, 5.4, 5.4, 5.4 
molDWRow_1508, 2, 1, -189107.7, -189107.3, -189107.8, -189107.3, -189107.8, -189108.7, -0.0, 0.3, 0.4, -0.9 
molDWRow_1509, 2, 2, -213751.4, -213751.6, -213751.6, -213752.0, -213752.7, -213753.5, 0.68215, -0.2, -0.4, -0.8 
molDWRow_1510, 4, 2, -334018.3, -334018.1, -334018.5, -334018.4, -334018.9, -334019.2, 1.3643, 0.1, 0.1, -0.3 
molDWRow_1511, 2, 1, -201562.1, -201562.3, -201562.4, -201562.3, -201562.4, -201562.8, 2.7286, -0.2, 0.0, -0.4 
